"filename", "language", "JavaScript", "vue", "JSON", "HTML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\CommentMessageDetailsView.vue", "vue", 0, 52, 0, 0, 0, 0, 0, 3, 55
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\CommentNotFoundView.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\CommentTopicDetailsView.vue", "vue", 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\HomeView.vue", "vue", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\LoginView.vue", "vue", 0, 105, 0, 0, 0, 0, 1, 9, 115
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\LogoutView.vue", "vue", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\ProfileView.vue", "vue", 0, 47, 0, 0, 0, 0, 2, 8, 57
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\RegisterView.vue", "vue", 0, 123, 0, 0, 0, 0, 0, 9, 132
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\SocialView.vue", "vue", 0, 127, 0, 0, 0, 0, 3, 3, 133
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\views\VoteView.vue", "vue", 0, 31, 0, 0, 0, 0, 3, 16, 50
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\vite.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 1, 3, 15
"Total", "-", 277, 1739, 5124, 17, 1, 243, 32, 205, 7638
